ID,PUNTO_DE_CONEXION,DOMICILIO,COLONIA-COMUNIDAD,ZONA,LOCALIDAD,SEDE,LATITUD,LONGITUD,PROGRAMA,TIPO,BENEFICIARIOS,FASE,ICONO
91,11EPR0533O,"Calle Acapulco Numero Exterior: 414 , Colonia El Coecillo, Codigo",El Coecillo,urbana,León de los Aldama,Escuela,21.12669,-101.66694,México conectado,Sin informacion,321,Instalado,pin
92,11EPR0704R,Independencia Num. 874,San Miguel,urbana,León de los Aldama,Escuela,21.10819,-101.68376,México conectado,Sin informacion,0,Instalado,pin
93,11EPR0848N,San Fulgencio Num. 511,Santa Clara,urbana,León de los Aldama,Escuela,21.09726,-101.67254,México conectado,Sin informacion,181,Instalado,pin
94,11EPR0849M,"Boulevard Hermanos Aldama Numero Exterior: 1109 , Colonia San Nic",San Nicolas,urbana,León de los Aldama,Escuela,21.10347,-101.67826,México conectado,Sin informacion,177,Instalado,pin
95,11EPR0907M,Sitio De Cuautla Y Jupiter S/N,Fraccionamiento Hidalgo,urbana,León de los Aldama,Escuela,21.14548,-101.66689,México conectado,Sin informacion,326,Instalado,pin
96,11ETV0020O,Seminario De Maria Niña Num. 4 Seminario De Maria Niña,Santa Ana Del Conde,rural,ALVARO OBREGON (SANTA ANA DEL CONDE),Escuela,20.96168,-101.58305,México conectado,Sin informacion,318,Instalado,pin
97,11ETV0404T,Caracas Num. 210,La Carmona,urbana,León de los Aldama,Escuela,21.13332,-101.66006,México conectado,Sin informacion,98,Instalado,pin
98,11ETV0408P,Santa Rosalia Num. 501,La Florida,urbana,León de los Aldama,Escuela,21.14498,-101.67821,México conectado,Sin informacion,187,Instalado,pin
99,11ETV0583V,Felix Romero Num. 543,Periodistas De Mexico,urbana,León de los Aldama,Escuela,21.095689,-101.749883,México conectado,Sin informacion,360,Instalado,pin
100,11ETV0902Q,Calle Principal Pasando La Via Del Ferrocarril,San Juan De Abajo,urbana,SAN JUAN DE ABAJO,Escuela,21.05765,-101.63799,México conectado,Sin informacion,274,Instalado,pin
101,11ETV0961F,Ladrilleras Del Refugio Carretera Leon- Duarte,Ladrilleras Del Refugio,rural,LADRILLERAS DEL REFUGIO,Escuela,21.08431,-101.55268,México conectado,Sin informacion,53,Instalado,pin
102,11DJN1024C,Plaza Palmerin S/N,Arboledas,urbana,León de los Aldama,Escuela,21.10259,-101.66411,México conectado,Sin informacion,88,Instalado,pin
103,11DJN2902P,Observatorio Num. 102 Universidad De La Salle,Mirador Campestre,urbana,León de los Aldama,Escuela,21.14747,-101.71567,México conectado,Sin informacion,18,Instalado,pin
104,11DPR1493L,Calle Faro De La Sandia Carretera Leon Cueramaro Numero Exterior:,Plan Guanajuato (La Sandia),rural,PLAN GUANAJUATO (LA SANDIA),Escuela,20.919767,-101.700296,México conectado,Sin informacion,378,Instalado,pin
105,11DPR1533W,Calle Principal Carretera A Comanjilla,Comunidad Albarradones,rural,ALBARRADONES,Escuela,21.04055,-101.50312,México conectado,Sin informacion,180,Instalado,pin
106,11DPR2121B,Comunidad Rancho Nuevo,Rancho Nuevo,rural,RANCHO NUEVO DE LA LUZ,Escuela,20.96193,-101.64684,México conectado,Sin informacion,173,Instalado,pin
107,11DPR3332M,"Calle Fut-Bol Numero Exterior: 206 , Colonia Unidad Deportiva, Co",Unidad Deportiva,urbana,León de los Aldama,Escuela,21.14525,-101.65437,México conectado,Sin informacion,187,Instalado,pin
108,11DPR3378H,"Calle Horno Numero Exterior: Sn, Colonia Ladrilleras Del Refugio,",Ladrilleras Del Refugio,rural,LADRILLERAS DEL REFUGIO,Escuela,21.08505,-101.55421,México conectado,Sin informacion,336,Instalado,pin
109,11ETV0115B,Nardos Num. 108,Los Lopez,rural,León de los Aldama,Escuela,21.04849,-101.56966,México conectado,Sin informacion,419,Instalado,pin
110,11DES0054Z,Boulevard Reboceros Y Artesanos Num. 402,Hacienda Echeveste,urbana,León de los Aldama,Escuela,21.18222,-101.66752,México conectado,Sin informacion,1151,Instalado,pin
111,11DJN2888M,Andador Del Panadero Num. 201 Salida A San Felipe,Rivera De Los Castillos,urbana,León de los Aldama,Escuela,21.20244,-101.6671,México conectado,Sin informacion,87,Instalado,pin
112,11DPR1314J,"Calle San Ulises De Abajo Numero Exterior: 602 , Ejido San Juan D",San Juan De Abajo,urbana,SAN JUAN DE ABAJO,Escuela,21.058284,-101.637996,México conectado,Sin informacion,446,Instalado,pin
113,11DPR2093W,San Cayetano Num. 313,El Coecillo,urbana,León de los Aldama,Escuela,21.12988,-101.66839,México conectado,Sin informacion,481,Instalado,pin
114,11DPR3838B,"Calle Altar De San Juan Numero Exterior: 206 , Fraccionamiento Vi",Villas De San Juan,urbana,León de los Aldama,Escuela,21.09218,-101.5907,México conectado,Sin informacion,701,Instalado,pin
115,11DST0064Z,Uranio Num. 201,Valle De Señora,urbana,León de los Aldama,Escuela,21.16168,-101.65522,México conectado,Sin informacion,847,Instalado,pin
116,11DBH0003Q,Boulevard Gran Bahia Num. 603,San Nicolas Del Palote,urbana,León de los Aldama,Escuela,21.193095,-101.682195,Otro,Sin informacion,0,Instalado,pin
117,11DBT0015Q,Oceano Atlantico Y Artico S/N ,Santa Maria Granjeno,urbana,León de los Aldama,Escuela,21.0928,-101.65548,Otro,Sin informacion,8,Instalado,pin
118,11DCM0011J,"Boulevard Wigberto Jimenez Moreno Numero Exterior: 704 , Condomin",Buenos Aires,urbana,León de los Aldama,Escuela,21.09545,-101.67235,Otro,Sin informacion,0,Instalado,pin
119,11DCT0011T,Eta S/N Esquina Omega,Fraccionamiento Industrial Delta,urbana,León de los Aldama,Escuela,21.08613,-101.61987,Otro,Sin informacion,0,Instalado,pin
120,11DCT0013R,"Calle Vaticano Numero Exterior: 101 , Colonia San Jeronimo Ii, Co",San Jeronimo Ii,urbana,León de los Aldama,Escuela,21.15494,-101.67382,Otro,Sin informacion,0,Instalado,pin
121,11DCT0019L,Diego De Hinojosa S/N,Fraccionamiento Las Trojes,urbana,León de los Aldama,Escuela,21.13316,-101.66662,Otro,Sin informacion,0,Instalado,pin
122,11DCT3218E,"Boulevard Caliope Numero Exterior: 1055 , Ejido La Joya, Codigo P",La Joya,urbana,León de los Aldama,Escuela,21.135307,-101.735709,Otro,Sin informacion,0,Instalado,pin
123,11DDI0001P,"Calle Chimalpopoca Numero Exterior: 102 , Colonia Aztecas, Codigo",Aztecas,urbana,León de los Aldama,Escuela,21.10199,-101.65482,Otro,Sin informacion,10,Instalado,pin
124,11DER0006R,"Calle Vaticano Numero Exterior: 101 , Colonia San Jeronimo Ii, Co",San Jeronimo Ii,urbana,León de los Aldama,Escuela,21.15494,-101.67382,Otro,Sin informacion,0,Instalado,pin
125,11DES0023G,Alicia Num. 305 Atras De La Fabrica Flexi,Oriental,urbana,León de los Aldama,Escuela,21.10911,-101.65202,Otro,Sin informacion,1312,Instalado,pin
126,11DES0131O,"Calle Brisas Del Campestre Numero Exterior: Sn, Fraccionamiento B",Brisas Del Campestre,urbana,BRISAS DEL CAMPESTRE,Escuela,21.181805,-101.768618,Otro,Sin informacion,642,Instalado,pin
127,11DJN0228Q,Guty Cardenas Num. 302,Leon Moderno,urbana,León de los Aldama,Escuela,21.10962,-101.6734,Otro,Sin informacion,181,Instalado,pin
128,11DJN0335Z,Diego De Velazquez Num. 703,Jardines De Oriente,urbana,León de los Aldama,Escuela,21.12765,-101.64816,Otro,Sin informacion,78,Instalado,pin
129,11DJN0338W,Jupiter Num. 1102,Fraccionamiento Hidalgo,urbana,León de los Aldama,Escuela,21.14329,-101.66659,Otro,Sin informacion,204,Instalado,pin
130,11DJN0342I,Prolongacion La Merced Num. 1239,San Sebastian,urbana,León de los Aldama,Escuela,21.10363,-101.7011,Otro,Sin informacion,25,Instalado,pin
131,11DJN0349B,Abelardo Leal Rodriguez S/N,Presidentes De Mexico,urbana,León de los Aldama,Escuela,21.13985,-101.64935,Otro,Sin informacion,207,Instalado,pin
132,11DJN0613K,Olivos Num. 812,San Felipe De Jesus,urbana,León de los Aldama,Escuela,21.13315,-101.64896,Otro,Sin informacion,200,Instalado,pin
133,11DJN0885B,Los Arcos Carretera Leon-Cueramaro,Los Arcos,rural,LOS ARCOS,Escuela,21.04747,-101.6885,Otro,Sin informacion,72,Instalado,pin
134,11DJN0948X,San Lazaro S/N Boulevard Hilario Medina,Santa Rosa De Lima,urbana,León de los Aldama,Escuela,21.15176,-101.65097,Otro,Sin informacion,145,Instalado,pin
135,11DJN0961R,Los Tepetates Carretera Leon- Cueramaro,Los Tepetates,rural,SAN ANTONIO DE LOS TEPETATES,Escuela,21.04557,-101.69376,Otro,Sin informacion,57,Instalado,pin
136,11DJN2361K,Laguna Del Carmen S/N,Lomas De La Trinidad,urbana,León de los Aldama,Escuela,21.1393,-101.69745,Otro,Sin informacion,163,Instalado,pin
137,11DJN2610A,Futbol S/N,Infonavit Deportiva 1,urbana,León de los Aldama,Escuela,21.14571,-101.65414,Otro,Sin informacion,154,Instalado,pin
